domain,id,gold_sql
01_trading_company,1,SELECT COUNT(*) FROM sales_orders WHERE EXTRACT(YEAR FROM order_date) = 2023;
01_trading_company,3,"SELECT c.category_name, SUM(soi.quantity) as total_qty FROM sales_order_items soi JOIN products p ON soi.product_id = p.product_id JOIN subcategories s ON p.subcategory_id = s.subcategory_id JOIN categories c ON s.category_id = c.category_id GROUP BY c.category_id ORDER BY total_qty DESC LIMIT 5;"
01_trading_company,4,SELECT COUNT(*) FROM customers WHERE customer_type = 'B2B';
01_trading_company,5,SELECT AVG(total_amount) FROM sales_orders WHERE EXTRACT(YEAR FROM order_date) = 2022;
01_trading_company,6,"SELECT warehouse_name, address FROM warehouses WHERE city = 'Москва';"
01_trading_company,7,"SELECT s.subcategory_name, COUNT(p.product_id) FROM products p JOIN subcategories s ON p.subcategory_id = s.subcategory_id GROUP BY s.subcategory_id;"
01_trading_company,12,SELECT COUNT(*) FROM employees WHERE department = 'Продажи';
01_trading_company,14,SELECT COUNT(*) FROM purchase_orders WHERE status = 'received' AND EXTRACT(YEAR FROM order_date) = 2023;
01_trading_company,15,SELECT AVG(discount_percent) FROM sales_orders so JOIN customers c ON so.customer_id = c.customer_id WHERE c.discount_tier = 'A';
01_trading_company,17,"SELECT c.category_name, COUNT(p.product_id) FROM categories c LEFT JOIN subcategories s ON c.category_id = s.category_id LEFT JOIN products p ON s.subcategory_id = p.subcategory_id GROUP BY c.category_id;"
01_trading_company,18,"SELECT EXTRACT(MONTH FROM order_date) as month, COUNT(*) FROM sales_orders WHERE EXTRACT(YEAR FROM order_date) = 2024 GROUP BY EXTRACT(MONTH FROM order_date) ORDER BY COUNT(*) DESC LIMIT 1;"
01_trading_company,20,"SELECT s.supplier_name, SUM(po.total_amount) FROM purchase_orders po JOIN suppliers s ON po.supplier_id = s.supplier_id WHERE EXTRACT(YEAR FROM po.order_date) = 2022 GROUP BY s.supplier_id;"
01_trading_company,21,"SELECT promotion_name, start_date, end_date FROM promotions WHERE is_active = TRUE AND start_date <= CURRENT_DATE AND end_date >= CURRENT_DATE;"
01_trading_company,23,"SELECT p.product_name, SUM(soi.quantity) as total FROM sales_order_items soi JOIN products p ON soi.product_id = p.product_id GROUP BY p.product_id ORDER BY total DESC LIMIT 1;"
01_trading_company,25,"SELECT EXTRACT(MONTH FROM order_date) as month, SUM(total_amount) FROM sales_orders WHERE EXTRACT(YEAR FROM order_date) = 2023 GROUP BY EXTRACT(MONTH FROM order_date) ORDER BY month;"
01_trading_company,26,SELECT DISTINCT p.product_name FROM products p JOIN promotion_products pp ON p.product_id = pp.product_id JOIN promotions pr ON pp.promotion_id = pr.promotion_id WHERE pr.promotion_type = 'discount';
